modelo,config,bloque_mes,H,n_ventanas,MAE,RMSE,R2
xgb,xgb_E1,2024-10,48,5,2.6957010974884033,3.48432921469154,-0.2849900916857109
xgb,xgb_E3,2024-10,6,5,1.7209867553710931,2.3389347450117954,-0.0738347762208742
xgb,xgb_E3,2024-10,12,5,2.363541458129882,3.2565317447852014,-0.33313687623561594
xgb,xgb_E3,2024-10,24,5,2.425351280848185,3.2551409919986565,-0.16196526785729826
xgb,xgb_E3,2024-10,48,5,2.855165563265482,3.6597176036604697,-0.41760933486987195
c2,c2_zs_U_C512,2024-10,6,5,1.8063163172403967,2.359328928712802,-0.09264287803114146
c2,c2_zs_U_C512,2024-10,12,5,2.2476417643229163,3.0637046401051493,-0.17993449638385517
c2,c2_zs_U_C512,2024-10,24,5,2.383073830922444,3.1533566771349695,-0.09043487228244573
c2,c2_zs_U_C512,2024-10,48,5,2.5291661043167113,3.2873594227376275,-0.14381501852024758
c2,c2_zs_F_C256,2024-10,6,5,1.937267880757649,2.6288631765977297,-0.35655441762950146
c2,c2_zs_F_C256,2024-10,12,5,2.354185373942057,3.304030546786349,-0.37230996612924905
c2,c2_zs_F_C256,2024-10,24,5,2.3502065232594807,3.194561854880584,-0.11911867156266642
c2,c2_zs_F_C256,2024-10,48,5,2.5957271118164065,3.403856247306688,-0.22632006820351425
ttm,ttm_zs_U,2024-10,6,5,1.8094285507202144,2.404145875944788,-0.13454802776581043
ttm,ttm_zs_U,2024-10,12,5,2.3940451151529945,3.311120760850855,-0.3782060443872295
ttm,ttm_zs_U,2024-10,24,5,2.372952374140422,3.2622650299120233,-0.16705687090837706
ttm,ttm_zs_U,2024-10,48,5,2.6279791971842448,3.444045289620659,-0.2554491354905508
ttm,ttm_ft5_F,2024-10,6,5,1.8835290883382156,2.590062002419058,-0.31680532744815126
ttm,ttm_ft5_F,2024-10,12,5,2.7284443880716958,3.8267000832680838,-0.8408269391140928
ttm,ttm_ft5_F,2024-10,24,5,2.5201515750885,3.4507483410203106,-0.30581037291943836
ttm,ttm_ft5_F,2024-10,48,5,2.839963523864746,3.7021673541357374,-0.45068629445284003
xgb,xgb_E1,2024-11,6,5,4.391585469563802,5.070248190492598,-3.101760427433322
xgb,xgb_E1,2024-11,12,5,4.666540514628093,5.452099826866519,-0.769961882872753
xgb,xgb_E1,2024-11,24,5,5.01928591442108,6.037151190709316,-0.31205059461272544
xgb,xgb_E1,2024-11,48,5,4.992787950992584,5.988672723875614,-0.5636133652410344
xgb,xgb_E3,2024-11,6,5,4.341770010630289,5.019842017020663,-3.020610033568925
xgb,xgb_E3,2024-11,12,5,4.627579217910767,5.43534247217286,-0.7590984360172601
xgb,xgb_E3,2024-11,24,5,5.129759715398152,6.1835091239080535,-0.37643748018976364
xgb,xgb_E3,2024-11,48,5,4.863026098887125,5.880286941914913,-0.5075275310917395
c2,c2_zs_U_C512,2024-11,6,5,3.8932448984781898,4.578853026036077,-2.3452244360363865
c2,c2_zs_U_C512,2024-11,12,5,4.274834393819173,4.848230787483713,-0.3995966224347889
c2,c2_zs_U_C512,2024-11,24,5,4.214146773656209,5.033627740606651,0.08788695558153681
c2,c2_zs_U_C512,2024-11,48,5,4.390982445081075,5.145373586680165,-0.1542557315158959
